term,modality,gene,role,label,selected_count,models_evaluated,selection_frequency,positive_count,negative_count,direction_concordance,median_selected_coefficient,full_discovery_coefficient,stable,near_miss
expression__ITGB8,expression,ITGB8,genome_wide_candidate,ITGB8 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MMP14,expression,MMP14,genome_wide_candidate,MMP14 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KDELR3,expression,KDELR3,genome_wide_candidate,KDELR3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PHLDB1,expression,PHLDB1,genome_wide_candidate,PHLDB1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NRP2,expression,NRP2,genome_wide_candidate,NRP2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLAT,expression,PLAT,genome_wide_candidate,PLAT expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FAM210B,expression,FAM210B,genome_wide_candidate,FAM210B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ST6GALNAC2,expression,ST6GALNAC2,genome_wide_candidate,ST6GALNAC2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ATP6V1E1,expression,ATP6V1E1,genome_wide_candidate,ATP6V1E1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SHISA4,expression,SHISA4,genome_wide_candidate,SHISA4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GULP1,expression,GULP1,genome_wide_candidate,GULP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC27A1,expression,SLC27A1,genome_wide_candidate,SLC27A1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLOD3,expression,PLOD3,genome_wide_candidate,PLOD3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PMP22,expression,PMP22,genome_wide_candidate,PMP22 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LMNA,expression,LMNA,genome_wide_candidate,LMNA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PHLDA1,expression,PHLDA1,genome_wide_candidate,PHLDA1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__INPP5F,expression,INPP5F,genome_wide_candidate,INPP5F expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SNAI2,expression,SNAI2,genome_wide_candidate,SNAI2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ARMC9,expression,ARMC9,genome_wide_candidate,ARMC9 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CD59,expression,CD59,genome_wide_candidate,CD59 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CYP27A1,expression,CYP27A1,genome_wide_candidate,CYP27A1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MARVELD1,expression,MARVELD1,genome_wide_candidate,MARVELD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CHST6,expression,CHST6,genome_wide_candidate,CHST6 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__VXN,expression,VXN,genome_wide_candidate,VXN expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DUSP10,expression,DUSP10,genome_wide_candidate,DUSP10 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SMIM29,expression,SMIM29,genome_wide_candidate,SMIM29 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLXNB3,expression,PLXNB3,genome_wide_candidate,PLXNB3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FRMD5,expression,FRMD5,genome_wide_candidate,FRMD5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FMN1,expression,FMN1,genome_wide_candidate,FMN1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PRNP,expression,PRNP,genome_wide_candidate,PRNP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SHROOM2,expression,SHROOM2,genome_wide_candidate,SHROOM2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GNG12,expression,GNG12,genome_wide_candidate,GNG12 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KRTAP7-1,expression,KRTAP7-1,genome_wide_candidate,KRTAP7-1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LGALS3BP,expression,LGALS3BP,genome_wide_candidate,LGALS3BP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__P2RX6,expression,P2RX6,genome_wide_candidate,P2RX6 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PROS1,expression,PROS1,genome_wide_candidate,PROS1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GBA1,expression,GBA1,genome_wide_candidate,GBA1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PNPLA3,expression,PNPLA3,genome_wide_candidate,PNPLA3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HEXB,expression,HEXB,genome_wide_candidate,HEXB expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PHYHIP,expression,PHYHIP,genome_wide_candidate,PHYHIP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FKBP9,expression,FKBP9,genome_wide_candidate,FKBP9 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MELTF,expression,MELTF,genome_wide_candidate,MELTF expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LGALS3,expression,LGALS3,genome_wide_candidate,LGALS3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PRRG1,expression,PRRG1,genome_wide_candidate,PRRG1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NES,expression,NES,genome_wide_candidate,NES expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RAB5C,expression,RAB5C,genome_wide_candidate,RAB5C expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CTSA,expression,CTSA,genome_wide_candidate,CTSA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SHROOM4,expression,SHROOM4,genome_wide_candidate,SHROOM4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TMEM17,expression,TMEM17,genome_wide_candidate,TMEM17 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF296,expression,ZNF296,genome_wide_candidate,ZNF296 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PHLDA3,expression,PHLDA3,genome_wide_candidate,PHLDA3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CTSB,expression,CTSB,genome_wide_candidate,CTSB expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CNP,expression,CNP,genome_wide_candidate,CNP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CCDC88C,expression,CCDC88C,genome_wide_candidate,CCDC88C expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ECM1,expression,ECM1,genome_wide_candidate,ECM1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SERPINA3,expression,SERPINA3,genome_wide_candidate,SERPINA3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__INPP4B,expression,INPP4B,genome_wide_candidate,INPP4B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MITF,expression,MITF,prespecified_hypothesis,MITF expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MBL2,expression,MBL2,genome_wide_candidate,MBL2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SDCBP,expression,SDCBP,genome_wide_candidate,SDCBP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SCARB2,expression,SCARB2,genome_wide_candidate,SCARB2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LAMP2,expression,LAMP2,genome_wide_candidate,LAMP2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FAM114A1,expression,FAM114A1,genome_wide_candidate,FAM114A1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SEC14L2,expression,SEC14L2,genome_wide_candidate,SEC14L2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MFGE8,expression,MFGE8,genome_wide_candidate,MFGE8 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ENTHD1,expression,ENTHD1,genome_wide_candidate,ENTHD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__BCL2L13,expression,BCL2L13,genome_wide_candidate,BCL2L13 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ANXA5,expression,ANXA5,genome_wide_candidate,ANXA5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__UCP2,expression,UCP2,genome_wide_candidate,UCP2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__IGSF3,expression,IGSF3,genome_wide_candidate,IGSF3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DNAJB1,expression,DNAJB1,genome_wide_candidate,DNAJB1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__WIPI1,expression,WIPI1,genome_wide_candidate,WIPI1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
