term,modality,gene,role,label,selected_count,models_evaluated,selection_frequency,positive_count,negative_count,direction_concordance,median_selected_coefficient,full_discovery_coefficient,stable,near_miss
expression__NIPBL,expression,NIPBL,genome_wide_candidate,NIPBL expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TRIM67,expression,TRIM67,genome_wide_candidate,TRIM67 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PXYLP1,expression,PXYLP1,genome_wide_candidate,PXYLP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DENND2A,expression,DENND2A,genome_wide_candidate,DENND2A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__POMZP3,expression,POMZP3,genome_wide_candidate,POMZP3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MS4A4A,expression,MS4A4A,genome_wide_candidate,MS4A4A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RNF180,expression,RNF180,genome_wide_candidate,RNF180 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__S100A2,expression,S100A2,genome_wide_candidate,S100A2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PAQR4,expression,PAQR4,genome_wide_candidate,PAQR4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NAT16,expression,NAT16,genome_wide_candidate,NAT16 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PRKCE,expression,PRKCE,genome_wide_candidate,PRKCE expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CHIT1,expression,CHIT1,genome_wide_candidate,CHIT1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ETV3,expression,ETV3,genome_wide_candidate,ETV3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF827,expression,ZNF827,genome_wide_candidate,ZNF827 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TCTN1,expression,TCTN1,genome_wide_candidate,TCTN1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TF,expression,TF,genome_wide_candidate,TF expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CD72,expression,CD72,genome_wide_candidate,CD72 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TUBGCP3,expression,TUBGCP3,genome_wide_candidate,TUBGCP3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GFY,expression,GFY,genome_wide_candidate,GFY expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ATP23,expression,ATP23,genome_wide_candidate,ATP23 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DYM,expression,DYM,genome_wide_candidate,DYM expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ELP1,expression,ELP1,genome_wide_candidate,ELP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TOMM22,expression,TOMM22,genome_wide_candidate,TOMM22 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PROZ,expression,PROZ,genome_wide_candidate,PROZ expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DGCR2,expression,DGCR2,genome_wide_candidate,DGCR2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MZT2A,expression,MZT2A,genome_wide_candidate,MZT2A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FGF13,expression,FGF13,genome_wide_candidate,FGF13 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HNRNPM,expression,HNRNPM,genome_wide_candidate,HNRNPM expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CHRNA10,expression,CHRNA10,genome_wide_candidate,CHRNA10 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__UNC13D,expression,UNC13D,genome_wide_candidate,UNC13D expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF324B,expression,ZNF324B,genome_wide_candidate,ZNF324B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NMNAT2,expression,NMNAT2,genome_wide_candidate,NMNAT2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TRMT10B,expression,TRMT10B,genome_wide_candidate,TRMT10B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PPCS,expression,PPCS,genome_wide_candidate,PPCS expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ROBO3,expression,ROBO3,genome_wide_candidate,ROBO3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CBARP,expression,CBARP,genome_wide_candidate,CBARP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__APOA1,expression,APOA1,genome_wide_candidate,APOA1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__POLR1B,expression,POLR1B,genome_wide_candidate,POLR1B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__UNKL,expression,UNKL,genome_wide_candidate,UNKL expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__UROD,expression,UROD,genome_wide_candidate,UROD expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ALG1,expression,ALG1,genome_wide_candidate,ALG1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PAEP,expression,PAEP,genome_wide_candidate,PAEP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PRKCZ,expression,PRKCZ,genome_wide_candidate,PRKCZ expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF280C,expression,ZNF280C,genome_wide_candidate,ZNF280C expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZCCHC13,expression,ZCCHC13,genome_wide_candidate,ZCCHC13 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SNX13,expression,SNX13,genome_wide_candidate,SNX13 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ITIH5,expression,ITIH5,genome_wide_candidate,ITIH5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NR2F2,expression,NR2F2,genome_wide_candidate,NR2F2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ASNS,expression,ASNS,genome_wide_candidate,ASNS expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MTHFD1,expression,MTHFD1,genome_wide_candidate,MTHFD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HNRNPDL,expression,HNRNPDL,genome_wide_candidate,HNRNPDL expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__OR10G2,expression,OR10G2,genome_wide_candidate,OR10G2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KRTAP10-1,expression,KRTAP10-1,genome_wide_candidate,KRTAP10-1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__OR2T11,expression,OR2T11,genome_wide_candidate,OR2T11 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MGAT1,expression,MGAT1,genome_wide_candidate,MGAT1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NUP214,expression,NUP214,genome_wide_candidate,NUP214 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLS3,expression,PLS3,genome_wide_candidate,PLS3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__H3-3B,expression,H3-3B,genome_wide_candidate,H3-3B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__IRX5,expression,IRX5,genome_wide_candidate,IRX5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PRDM12,expression,PRDM12,genome_wide_candidate,PRDM12 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__EXOSC9,expression,EXOSC9,genome_wide_candidate,EXOSC9 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ENSA,expression,ENSA,genome_wide_candidate,ENSA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FKBP1B,expression,FKBP1B,genome_wide_candidate,FKBP1B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ERVW-1,expression,ERVW-1,genome_wide_candidate,ERVW-1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FHIP2A,expression,FHIP2A,genome_wide_candidate,FHIP2A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CHAC2,expression,CHAC2,genome_wide_candidate,CHAC2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SPP1,expression,SPP1,genome_wide_candidate,SPP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__COL11A2,expression,COL11A2,genome_wide_candidate,COL11A2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KCNJ2,expression,KCNJ2,genome_wide_candidate,KCNJ2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CLPTM1,expression,CLPTM1,genome_wide_candidate,CLPTM1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SFTPB,expression,SFTPB,genome_wide_candidate,SFTPB expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TSPYL6,expression,TSPYL6,genome_wide_candidate,TSPYL6 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RPS13,expression,RPS13,genome_wide_candidate,RPS13 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF397,expression,ZNF397,genome_wide_candidate,ZNF397 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HUWE1,expression,HUWE1,genome_wide_candidate,HUWE1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NTPCR,expression,NTPCR,genome_wide_candidate,NTPCR expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ACTR3C,expression,ACTR3C,genome_wide_candidate,ACTR3C expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SGSH,expression,SGSH,genome_wide_candidate,SGSH expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__UBE2D2,expression,UBE2D2,genome_wide_candidate,UBE2D2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__BIRC2,expression,BIRC2,genome_wide_candidate,BIRC2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RBM44,expression,RBM44,genome_wide_candidate,RBM44 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC9C1,expression,SLC9C1,genome_wide_candidate,SLC9C1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NUP133,expression,NUP133,genome_wide_candidate,NUP133 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KDM5A,expression,KDM5A,genome_wide_candidate,KDM5A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CCDC57,expression,CCDC57,genome_wide_candidate,CCDC57 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FAM153A,expression,FAM153A,genome_wide_candidate,FAM153A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CAV1,expression,CAV1,genome_wide_candidate,CAV1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__AHSP,expression,AHSP,genome_wide_candidate,AHSP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ALOX5AP,expression,ALOX5AP,genome_wide_candidate,ALOX5AP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NOL3,expression,NOL3,genome_wide_candidate,NOL3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HOXB2,expression,HOXB2,genome_wide_candidate,HOXB2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__UNG,expression,UNG,genome_wide_candidate,UNG expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF724,expression,ZNF724,genome_wide_candidate,ZNF724 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RAB8A,expression,RAB8A,genome_wide_candidate,RAB8A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TMEM121,expression,TMEM121,genome_wide_candidate,TMEM121 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NPLOC4,expression,NPLOC4,genome_wide_candidate,NPLOC4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__AASS,expression,AASS,genome_wide_candidate,AASS expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__THOC3,expression,THOC3,genome_wide_candidate,THOC3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LILRB3,expression,LILRB3,genome_wide_candidate,LILRB3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__REEP5,expression,REEP5,genome_wide_candidate,REEP5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF830,expression,ZNF830,genome_wide_candidate,ZNF830 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC39A12,expression,SLC39A12,genome_wide_candidate,SLC39A12 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SMG1,expression,SMG1,genome_wide_candidate,SMG1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RPS3A,expression,RPS3A,genome_wide_candidate,RPS3A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ADAMTSL5,expression,ADAMTSL5,genome_wide_candidate,ADAMTSL5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ENO3,expression,ENO3,genome_wide_candidate,ENO3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NGDN,expression,NGDN,genome_wide_candidate,NGDN expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NTN3,expression,NTN3,genome_wide_candidate,NTN3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HID1,expression,HID1,genome_wide_candidate,HID1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__QTRT1,expression,QTRT1,genome_wide_candidate,QTRT1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FBXO41,expression,FBXO41,genome_wide_candidate,FBXO41 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SCG3,expression,SCG3,genome_wide_candidate,SCG3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DGUOK,expression,DGUOK,genome_wide_candidate,DGUOK expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GNB4,expression,GNB4,genome_wide_candidate,GNB4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RHOXF1,expression,RHOXF1,genome_wide_candidate,RHOXF1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SPTB,expression,SPTB,genome_wide_candidate,SPTB expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CYBRD1,expression,CYBRD1,genome_wide_candidate,CYBRD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MYBBP1A,expression,MYBBP1A,genome_wide_candidate,MYBBP1A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CDK12,expression,CDK12,genome_wide_candidate,CDK12 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HS3ST2,expression,HS3ST2,genome_wide_candidate,HS3ST2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TTL,expression,TTL,genome_wide_candidate,TTL expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__POLQ,expression,POLQ,genome_wide_candidate,POLQ expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC7A6OS,expression,SLC7A6OS,genome_wide_candidate,SLC7A6OS expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__EED,expression,EED,genome_wide_candidate,EED expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__AMY2B,expression,AMY2B,genome_wide_candidate,AMY2B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GAPT,expression,GAPT,genome_wide_candidate,GAPT expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CLIP2,expression,CLIP2,genome_wide_candidate,CLIP2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC1A5,expression,SLC1A5,genome_wide_candidate,SLC1A5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GLDN,expression,GLDN,genome_wide_candidate,GLDN expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CAPS,expression,CAPS,genome_wide_candidate,CAPS expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SCN5A,expression,SCN5A,genome_wide_candidate,SCN5A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MVB12A,expression,MVB12A,genome_wide_candidate,MVB12A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NOPCHAP1,expression,NOPCHAP1,genome_wide_candidate,NOPCHAP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CASP6,expression,CASP6,genome_wide_candidate,CASP6 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MME,expression,MME,genome_wide_candidate,MME expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KLRF2,expression,KLRF2,genome_wide_candidate,KLRF2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__IL17F,expression,IL17F,genome_wide_candidate,IL17F expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SPACA3,expression,SPACA3,genome_wide_candidate,SPACA3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DDO,expression,DDO,genome_wide_candidate,DDO expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ABI1,expression,ABI1,genome_wide_candidate,ABI1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC19A2,expression,SLC19A2,genome_wide_candidate,SLC19A2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NDUFB5,expression,NDUFB5,genome_wide_candidate,NDUFB5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TACC3,expression,TACC3,genome_wide_candidate,TACC3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KAT2A,expression,KAT2A,genome_wide_candidate,KAT2A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DMAC2,expression,DMAC2,genome_wide_candidate,DMAC2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GFOD2,expression,GFOD2,genome_wide_candidate,GFOD2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NSG1,expression,NSG1,genome_wide_candidate,NSG1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CLDN23,expression,CLDN23,genome_wide_candidate,CLDN23 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TKT,expression,TKT,genome_wide_candidate,TKT expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SCAMP4,expression,SCAMP4,genome_wide_candidate,SCAMP4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RPS6KA1,expression,RPS6KA1,genome_wide_candidate,RPS6KA1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PORCN,expression,PORCN,genome_wide_candidate,PORCN expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__H2BC6,expression,H2BC6,genome_wide_candidate,H2BC6 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GABRR2,expression,GABRR2,genome_wide_candidate,GABRR2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PTPRU,expression,PTPRU,genome_wide_candidate,PTPRU expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RPL11,expression,RPL11,genome_wide_candidate,RPL11 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NOL9,expression,NOL9,genome_wide_candidate,NOL9 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__VSIG4,expression,VSIG4,genome_wide_candidate,VSIG4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DEXI,expression,DEXI,genome_wide_candidate,DEXI expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CCPG1,expression,CCPG1,genome_wide_candidate,CCPG1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KLF8,expression,KLF8,genome_wide_candidate,KLF8 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__EPGN,expression,EPGN,genome_wide_candidate,EPGN expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DDX42,expression,DDX42,genome_wide_candidate,DDX42 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SYNGAP1,expression,SYNGAP1,genome_wide_candidate,SYNGAP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC22A25,expression,SLC22A25,genome_wide_candidate,SLC22A25 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PPM1B,expression,PPM1B,genome_wide_candidate,PPM1B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RCVRN,expression,RCVRN,genome_wide_candidate,RCVRN expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RHCG,expression,RHCG,genome_wide_candidate,RHCG expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MFSD14B,expression,MFSD14B,genome_wide_candidate,MFSD14B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__APELA,expression,APELA,genome_wide_candidate,APELA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GSS,expression,GSS,genome_wide_candidate,GSS expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NEGR1,expression,NEGR1,genome_wide_candidate,NEGR1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SPRYD7,expression,SPRYD7,genome_wide_candidate,SPRYD7 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SRSF2,expression,SRSF2,genome_wide_candidate,SRSF2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__C19orf38,expression,C19orf38,genome_wide_candidate,C19orf38 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LCN15,expression,LCN15,genome_wide_candidate,LCN15 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MSC,expression,MSC,genome_wide_candidate,MSC expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LARGE2,expression,LARGE2,genome_wide_candidate,LARGE2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SMIM31,expression,SMIM31,genome_wide_candidate,SMIM31 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__OLFM2,expression,OLFM2,genome_wide_candidate,OLFM2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__XYLT2,expression,XYLT2,genome_wide_candidate,XYLT2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CRY2,expression,CRY2,genome_wide_candidate,CRY2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CSK,expression,CSK,genome_wide_candidate,CSK expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MSRA,expression,MSRA,genome_wide_candidate,MSRA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC35B4,expression,SLC35B4,genome_wide_candidate,SLC35B4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NXF1,expression,NXF1,genome_wide_candidate,NXF1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CDHR3,expression,CDHR3,genome_wide_candidate,CDHR3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ITPKB,expression,ITPKB,genome_wide_candidate,ITPKB expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PYGL,expression,PYGL,genome_wide_candidate,PYGL expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LPAR2,expression,LPAR2,genome_wide_candidate,LPAR2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__IL5RA,expression,IL5RA,genome_wide_candidate,IL5RA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLSCR3,expression,PLSCR3,genome_wide_candidate,PLSCR3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MMADHC,expression,MMADHC,genome_wide_candidate,MMADHC expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PDIK1L,expression,PDIK1L,genome_wide_candidate,PDIK1L expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MIXL1,expression,MIXL1,genome_wide_candidate,MIXL1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RAB25,expression,RAB25,genome_wide_candidate,RAB25 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TREML2,expression,TREML2,genome_wide_candidate,TREML2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NKPD1,expression,NKPD1,genome_wide_candidate,NKPD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FGR,expression,FGR,genome_wide_candidate,FGR expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HOXA13,expression,HOXA13,genome_wide_candidate,HOXA13 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FAM219A,expression,FAM219A,genome_wide_candidate,FAM219A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KCNV2,expression,KCNV2,genome_wide_candidate,KCNV2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__EIF3CL,expression,EIF3CL,genome_wide_candidate,EIF3CL expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CFI,expression,CFI,genome_wide_candidate,CFI expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CHIC1,expression,CHIC1,genome_wide_candidate,CHIC1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ATP1B1,expression,ATP1B1,genome_wide_candidate,ATP1B1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__BICRAL,expression,BICRAL,genome_wide_candidate,BICRAL expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLIN3,expression,PLIN3,genome_wide_candidate,PLIN3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SMIM8,expression,SMIM8,genome_wide_candidate,SMIM8 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SYTL5,expression,SYTL5,genome_wide_candidate,SYTL5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SPACA4,expression,SPACA4,genome_wide_candidate,SPACA4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SEMA3G,expression,SEMA3G,genome_wide_candidate,SEMA3G expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RPE,expression,RPE,genome_wide_candidate,RPE expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ACTA2,expression,ACTA2,genome_wide_candidate,ACTA2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TADA1,expression,TADA1,genome_wide_candidate,TADA1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TUBA4B,expression,TUBA4B,genome_wide_candidate,TUBA4B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NDUFA11,expression,NDUFA11,genome_wide_candidate,NDUFA11 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ARHGAP1,expression,ARHGAP1,genome_wide_candidate,ARHGAP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF821,expression,ZNF821,genome_wide_candidate,ZNF821 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PPIG,expression,PPIG,genome_wide_candidate,PPIG expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CAMK2N2,expression,CAMK2N2,genome_wide_candidate,CAMK2N2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HGH1,expression,HGH1,genome_wide_candidate,HGH1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SIRPB1,expression,SIRPB1,genome_wide_candidate,SIRPB1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LRRC37A,expression,LRRC37A,genome_wide_candidate,LRRC37A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZNF878,expression,ZNF878,genome_wide_candidate,ZNF878 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__INTS7,expression,INTS7,genome_wide_candidate,INTS7 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LSAMP,expression,LSAMP,genome_wide_candidate,LSAMP expression,0,15,0,0,0,,0,0,FALSE,FALSE
