family,modality,gene,feature,estimate_type,lineage,n,altered_n,reference_n,estimate,std_error,statistic,p_value,conf_low,conf_high,estimable,reason,fdr
prespecified_hypothesis,mutation,NF1,NF1 damaging mutation,Altered minus reference,Testis,5,0,5,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,NF1,NF1 damaging mutation,Altered minus reference,Thyroid,11,2,9,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,NF1,NF1 damaging mutation,Altered minus reference,Uterus,34,6,28,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,NF1,NF1 damaging mutation,Altered minus reference,Vulva/Vagina,2,0,2,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Adrenal Gland,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Ampulla of Vater,5,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Cervix,18,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Eye,15,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Fibroblast,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Prostate,10,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Testis,4,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Thyroid,11,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Vulva/Vagina,2,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Adrenal Gland,1,0,1,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Ampulla of Vater,5,0,5,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Biliary Tract,34,3,31,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Bladder/Urinary Tract,34,3,31,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Bone,58,0,58,,,,,,,FALSE,Not estimable: feature has no within-lineage variation,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Bowel,63,7,56,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Breast,53,8,45,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
